City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
172,Denpasar,ID,2021-05-28 17:11:36,-8.65,115.2167,scattered clouds,80.26,89,40,7.81
173,San Luis,AR,2021-05-28 17:16:12,-33.295,-66.3356,broken clouds,65.12,40,62,20.0
174,Halifax,CA,2021-05-28 17:14:59,44.6453,-63.5724,broken clouds,57.69,32,67,4.0
175,Pangai,TO,2021-05-28 17:16:13,-19.8,-174.35,broken clouds,71.71,88,75,0.0
176,Hamilton,US,2021-05-28 17:15:41,39.1834,-84.5333,overcast clouds,71.2,93,90,1.01
177,Gigmoto,PH,2021-05-28 17:16:13,13.7796,124.39,overcast clouds,81.01,86,92,2.57
178,Zhigansk,RU,2021-05-28 17:16:13,66.7697,123.3711,clear sky,43.88,80,4,17.02
179,Castro,BR,2021-05-28 17:16:14,-24.7911,-50.0119,overcast clouds,70.97,65,99,12.1
180,Guerrero Negro,MX,2021-05-28 17:16:14,27.9769,-114.0611,few clouds,64.94,60,12,14.25
181,Lorengau,PG,2021-05-28 17:16:14,-2.0226,147.2712,broken clouds,80.67,81,82,6.46
182,Udachnyy,RU,2021-05-28 17:16:15,66.4167,112.4,overcast clouds,50.9,61,99,14.41
183,Horsham,GB,2021-05-28 17:16:15,51.064,-0.3272,few clouds,66.31,57,20,5.73
184,Raudeberg,NO,2021-05-28 17:16:16,61.9875,5.1352,few clouds,67.6,78,11,24.83
185,Comodoro Rivadavia,AR,2021-05-28 17:16:16,-45.8667,-67.5,few clouds,42.66,45,20,16.11
186,Saint-Leu,RE,2021-05-28 17:16:16,-21.15,55.2833,clear sky,70.66,72,1,4.54
187,Vila Velha,BR,2021-05-28 17:13:21,-20.3297,-40.2925,few clouds,85.96,63,20,8.99
188,Chepareria,KE,2021-05-28 17:16:17,1.3077,35.2039,overcast clouds,64.67,69,95,4.23
189,Dagana,MR,2021-05-28 17:16:17,16.5165,-15.5068,few clouds,100.0,16,24,20.69
190,Bereznik,RU,2021-05-28 17:16:17,62.8551,42.7072,overcast clouds,47.52,94,86,8.28
191,Lexington Park,US,2021-05-28 17:16:18,38.2668,-76.4538,broken clouds,82.51,75,75,11.5
192,Neuquen,AR,2021-05-28 17:16:18,-38.9516,-68.0591,clear sky,64.29,32,0,18.41
193,Yuxia,CN,2021-05-28 17:16:19,34.0615,108.6291,light rain,68.61,57,70,6.8
194,Taltal,CL,2021-05-28 17:16:19,-25.4,-70.4833,scattered clouds,65.93,74,31,5.5
195,Dhidhdhoo,MV,2021-05-28 17:16:12,6.8833,73.1,clear sky,83.91,74,4,21.12
196,Saskylakh,RU,2021-05-28 17:16:19,71.9167,114.0833,scattered clouds,33.04,88,29,6.31
197,Bongandanga,CD,2021-05-28 17:16:20,1.5,21.05,light rain,72.7,92,99,2.3
198,Havoysund,NO,2021-05-28 17:16:20,70.9963,24.6622,overcast clouds,35.83,61,99,19.04
199,Pitimbu,BR,2021-05-28 17:16:21,-7.4706,-34.8086,overcast clouds,79.39,80,87,17.81
200,Wawa,NG,2021-05-28 17:16:21,9.9022,4.4192,scattered clouds,93.27,35,46,2.73
201,Vila Franca Do Campo,PT,2021-05-28 17:16:21,37.7167,-25.4333,overcast clouds,64.81,59,98,3.8
202,Manokwari,ID,2021-05-28 17:16:22,-0.8667,134.0833,scattered clouds,78.76,79,39,4.47
203,Betioky,MG,2021-05-28 17:16:22,-23.7167,44.3833,clear sky,64.33,67,0,3.89
204,Makat,KZ,2021-05-28 17:16:22,47.6469,53.3463,broken clouds,78.13,45,81,7.92
205,New Norfolk,AU,2021-05-28 17:16:23,-42.7826,147.0587,few clouds,47.7,67,19,1.99
206,Keti Bandar,PK,2021-05-28 17:16:23,24.1447,67.4497,clear sky,84.52,84,4,13.87
207,Waipawa,NZ,2021-05-28 17:16:23,-41.4122,175.5153,broken clouds,51.03,86,73,3.06
208,Mamallapuram,IN,2021-05-28 17:16:24,12.6264,80.1722,broken clouds,87.06,75,81,11.43
209,Airai,TL,2021-05-28 17:16:24,-8.9266,125.4092,broken clouds,58.26,95,61,3.74
210,Itoman,JP,2021-05-28 17:16:24,26.1247,127.6694,broken clouds,77.4,88,75,4.61
211,Pozega,HR,2021-05-28 17:16:25,45.3403,17.6853,broken clouds,67.62,71,72,4.0
212,Ostrovnoy,RU,2021-05-28 17:16:25,68.0531,39.5131,overcast clouds,37.18,71,85,18.39
213,Fort Nelson,CA,2021-05-28 17:15:08,58.8053,-122.7002,broken clouds,64.26,29,84,3.27
214,Kostrzyn,PL,2021-05-28 17:16:25,52.3985,17.2281,overcast clouds,58.98,65,100,1.01
215,Sao Paulo De Olivenca,BR,2021-05-28 17:16:26,-3.3783,-68.8725,scattered clouds,92.08,48,35,1.81
216,Tuatapere,NZ,2021-05-28 17:16:26,-46.1333,167.6833,light rain,49.82,86,100,3.13
217,Antofagasta,CL,2021-05-28 17:12:14,-23.65,-70.4,few clouds,70.21,56,23,4.97
218,Moju,BR,2021-05-28 17:16:26,-1.8839,-48.7689,scattered clouds,84.27,61,37,3.69
219,Norman Wells,CA,2021-05-28 17:16:27,65.282,-126.8329,light rain,35.64,87,90,17.27
220,Preobrazheniye,RU,2021-05-28 17:16:27,42.9019,133.9064,moderate rain,48.22,96,100,12.59
221,Pangnirtung,CA,2021-05-28 17:16:27,66.1451,-65.7125,overcast clouds,33.8,75,90,13.8
222,Makakilo City,US,2021-05-28 17:16:28,21.3469,-158.0858,scattered clouds,74.68,75,40,4.61
