City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Santa Marta,CO,83.39,overcast clouds,11.2408,-74.199,Casa de Isabella
654,Wewak,PG,79.41,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
664,Andoain,ES,72.97,overcast clouds,43.2166,-2.0253,Casa Rural Altzibar Berri
667,Tual,ID,81.32,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
668,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
670,Payo,ID,73.49,overcast clouds,-3.7508,103.6372,Mess keban agung
672,Maragogi,BR,80.94,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
673,Tarakan,ID,83.01,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
674,Zomin,UZ,79.43,broken clouds,39.9606,68.3958,Orol hotel
677,Tabora,TZ,70.92,scattered clouds,-5.0167,32.8,Barcelona Lodge
679,Damavand,IR,76.84,clear sky,35.7178,52.065,آپارتمان زمانیان
